Rating,MovieId,Title,Director,LeadActor,Votes,CriticScore,IsAction,IsAdventure,IsAnimation,IsBiography,IsComedy,IsCrime,IsDrama,IsRomance,IsFantasy,IsHorror,IsMistery,IsHistory,IsFamily,IsSport,IsWar,IsWestern,IsSciFi,IsThriller
7.9,13,Rogue One,Gareth Edwards,Felicity Jones,323118,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.7,14,Moana,Ron Clements,Auli'i Cravalho,118151,81,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,15,Colossal,Nacho Vigalondo,Anne Hathaway,8612,70,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.6,16,The Secret Life of Pets,Chris Renaud,Louis C.K.,120259,61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,17,Hacksaw Ridge,Mel Gibson,Andrew Garfield,211760,71,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.7,18,Jason Bourne,Paul Greengrass,Matt Damon,150823,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.1,19,Lion,Garth Davis,Dev Patel,102061,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,20,Arrival,Denis Villeneuve,Amy Adams,340798,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6.7,21,Gold,Stephen Gaghan,Matthew McConaughey,19053,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7.9,22,Manchester by the Sea,Kenneth Lonergan,Casey Affleck,134213,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,23,Hounds of Love,Ben Young,Emma Booth,1115,72,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6.5,24,Trolls,Walt Dohrn,Anna Kendrick,38552,56,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,25,Independence Day: Resurgence,Roland Emmerich,Liam Hemsworth,127553,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.8,26,Paris pieds nus,Dominique Abel,Fiona Gordon,222,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,27,Bahubali: The Beginning,S.S. Rajamouli,Prabhas,76193,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.7,28,Dead Awake,Phillip Guzman,Jocelin Donahue,523,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6.2,29,Bad Moms,Jon Lucas,Mila Kunis,66540,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,30,Assassin's Creed,Justin Kurzel,Michael Fassbender,112813,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.3,31,Why Him?,John Hamburg,Zoey Deutch,48123,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,32,Nocturnal Animals,Tom Ford,Amy Adams,126030,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7.1,33,X-Men: Apocalypse,Bryan Singer,James McAvoy,275510,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,34,Deadpool,Tim Miller,Ryan Reynolds,627797,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,35,Resident Evil: The Final Chapter,Paul W.S. Anderson,Milla Jovovich,46165,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7.9,36,Captain America: Civil War,Anthony Russo,Chris Evans,411656,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.6,37,Interstellar,Christopher Nolan,Matthew McConaughey,1047747,74,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7.6,38,Doctor Strange,Scott Derrickson,Benedict Cumberbatch,293732,72,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.9,39,The Magnificent Seven,Antoine Fuqua,Denzel Washington,122853,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.1,40,5/25/1977,Patrick Read Johnson,John Francis Daley,241,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.3,41,Sausage Party,Greg Tiernan,Seth Rogen,120690,66,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,42,Moonlight,Barry Jenkins,Mahershala Ali,135095,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.7,43,Don't Fuck in the Woods,Shawn Burkett,Brittany Blanton,496,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.2,44,The Founder,John Lee Hancock,Michael Keaton,37033,66,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.3,45,Lowriders,Ricardo de Montreuil,Gabriel Chavarria,279,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,46,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,395025,45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.3,47,Miss Sloane,John Madden,Jessica Chastain,17818,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.6,48,Fallen,Scott Hicks,Hermione Corfield,5103,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7.1,49,Star Trek Beyond,Justin Lin,Chris Pine,164567,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.7,50,The Last Face,Sean Penn,Charlize Theron,987,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.1,51,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,Daisy Ridley,661608,81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.8,52,Underworld: Blood Wars,Anna Foerster,Kate Beckinsale,41362,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.6,53,Mother's Day,Garry Marshall,Jennifer Aniston,20221,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7.2,54,John Wick,Chad Stahelski,Keanu Reeves,321933,68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,55,The Dark Knight,Christopher Nolan,Christian Bale,1791916,82,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.3,56,Silence,Martin Scorsese,Andrew Garfield,49190,79,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7.2,57,Don't Breathe,Fede Alvarez,Stephen Lang,121103,71,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7.4,58,Me Before You,Thea Sharrock,Emilia Clarke,113322,51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,59,Their Finest,Lone Scherfig,Gemma Arterton,3739,76,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7.5,60,Sully,Clint Eastwood,Tom Hanks,137608,74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,61,Batman v Superman: Dawn of Justice,Zack Snyder,Ben Affleck,472307,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.8,62,The Autopsy of Jane Doe,André Øvredal,Brian Cox,35870,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6.5,63,The Girl on the Train,Tate Taylor,Emily Blunt,102177,48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.1,64,Fifty Shades of Grey,Sam Taylor-Johnson,Dakota Johnson,244474,46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
8.5,65,The Prestige,Christopher Nolan,Christian Bale,913152,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7.7,66,Kingsman: The Secret Service,Matthew Vaughn,Colin Firth,440209,58,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.4,67,Patriots Day,Peter Berg,Mark Wahlberg,39784,69,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8.1,68,Mad Max: Fury Road,George Miller,Tom Hardy,632842,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.5,69,Wakefield,Robin Swicord,Bryan Cranston,291,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.2,70,Deepwater Horizon,Peter Berg,Mark Wahlberg,89849,68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5.9,71,The Promise,Terry George,Oscar Isaac,149791,49,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7.1,72,Allied,Robert Zemeckis,Brad Pitt,78079,60,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.5,73,A Monster Calls,J.A. Bayona,Lewis MacDougall,39134,76,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6.8,74,Collateral Beauty,David Frankel,Will Smith,43977,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8.1,75,Zootopia,Byron Howard,Ginnifer Goodwin,296853,78,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,76,Pirates of the Caribbean: At World's End,Gore Verbinski,Johnny Depp,498821,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.1,77,The Avengers,Joss Whedon,Robert Downey Jr.,1045588,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.3,78,Inglourious Basterds,Quentin Tarantino,Brad Pitt,959065,69,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7.3,79,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Johnny Depp,552027,53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.3,80,Ghostbusters,Paul Feig,Melissa McCarthy,147717,60,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8.8,81,Inception,Christopher Nolan,Leonardo DiCaprio,1583625,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.9,82,Captain Fantastic,Matt Ross,Viggo Mortensen,105081,72,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8.2,83,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio,865134,75,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,84,Gone Girl,David Fincher,Ben Affleck,636243,79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.2,85,Furious Seven,James Wan,Vin Diesel,301249,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,86,Jurassic World,Colin Trevorrow,Chris Pratt,455169,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.4,87,Live by Night,Ben Affleck,Ben Affleck,27869,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.8,88,Avatar,James Cameron,Sam Worthington,935408,83,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.8,89,The Hateful Eight,Quentin Tarantino,Samuel L. Jackson,341170,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.4,90,The Accountant,Gavin O'Connor,Ben Affleck,162122,51,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.1,91,Prisoners,Denis Villeneuve,Hugh Jackman,431185,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,92,Warcraft,Duncan Jones,Travis Fimmel,187547,32,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.1,93,The Help,Tate Taylor,Emma Stone,342429,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.1,94,War Dogs,Todd Phillips,Jonah Hill,106463,57,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7.4,95,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr.,516895,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.4,96,The Nice Guys,Shane Black,Russell Crowe,175067,70,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.6,97,Kimi no na wa,Makoto Shinkai,Ryûnosuke Kamiki,34110,79,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5.8,98,The Void,Jeremy Gillespie,Aaron Poole,9247,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6.3,99,Personal Shopper,Olivier Assayas,Kristen Stewart,10181,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.5,100,The Departed,Martin Scorsese,Leonardo DiCaprio,937414,85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7,101,Legend,Brian Helgeland,Tom Hardy,108836,55,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,102,Thor,Kenneth Branagh,Chris Hemsworth,570814,57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,103,The Martian,Ridley Scott,Matt Damon,556097,80,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7.9,104,Contratiempo,Oriol Paulo,Mario Casas,7204,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7.3,105,The Man from U.N.C.L.E.,Guy Ritchie,Henry Cavill,202973,56,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,106,Hell or High Water,David Mackenzie,Chris Pine,115546,88,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
5.4,107,The Comedian,Taylor Hackford,Robert De Niro,1954,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,108,The Legend of Tarzan,David Yates,Alexander Skarsgård,117590,44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.8,109,All We Had,Katie Holmes,Eve Lindley,1004,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.7,110,Ex Machina,Alex Garland,Alicia Vikander,339797,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6.3,111,The Belko Experiment,Greg McLean,John Gallagher Jr.,3712,44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8.1,112,12 Years a Slave,Steve McQueen,Chiwetel Ejiofor,486338,96,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.1,113,The Bad Batch,Ana Lily Amirpour,Keanu Reeves,512,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7.7,114,300,Zack Snyder,Gerard Butler,637104,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8.1,115,Harry Potter and the Deathly Hallows: Part 2,David Yates,Daniel Radcliffe,590595,87,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5.8,116,Office Christmas Party,Josh Gordon,Jason Bateman,30761,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,117,The Neon Demon,Nicolas Winding Refn,Elle Fanning,50359,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8.8,118,Dangal,Nitesh Tiwari,Aamir Khan,48969,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.2,119,10 Cloverfield Lane,Dan Trachtenberg,John Goodman,192968,76,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7.4,120,Finding Dory,Andrew Stanton,Ellen DeGeneres,157026,77,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,121,Miss Peregrine's Home for Peculiar Children,Tim Burton,Eva Green,101058,57,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6.7,122,Divergent,Neil Burger,Shailene Woodley,362093,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,123,Mike and Dave Need Wedding Dates,Jake Szymanski,Zac Efron,53183,51,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7.4,124,Boyka: Undisputed IV,Todor Chapkanov,Scott Adkins,10428,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,125,The Dark Knight Rises,Christopher Nolan,Christian Bale,1222645,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.5,126,The Jungle Book,Jon Favreau,Neel Sethi,198243,77,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5.7,127,Transformers: Age of Extinction,Michael Bay,Mark Wahlberg,255483,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.6,128,Nerve,Henry Joost,Emma Roberts,69651,58,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.4,129,Mamma Mia!,Phyllida Lloyd,Meryl Streep,153481,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,130,The Revenant,Alejandro González Iñárritu,Leonardo DiCaprio,499424,76,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7.3,131,Fences,Denzel Washington,Denzel Washington,50953,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,132,Into the Woods,Rob Marshall,Anna Kendrick,109756,69,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.4,133,The Shallows,Jaume Collet-Serra,Blake Lively,78328,59,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8.5,134,Whiplash,Damien Chazelle,Miles Teller,477276,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.1,135,Furious 6,Justin Lin,Vin Diesel,318051,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7.3,136,The Place Beyond the Pines,Derek Cianfrance,Ryan Gosling,200090,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
8.1,137,No Country for Old Men,Ethan Coen,Tommy Lee Jones,660286,91,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7.3,138,The Great Gatsby,Baz Luhrmann,Leonardo DiCaprio,386102,55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8.1,139,Shutter Island,Martin Scorsese,Leonardo DiCaprio,855604,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.1,140,Brimstone,Martin Koolhoven,Dakota Fanning,13004,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8,141,Star Trek,J.J. Abrams,Chris Pine,526324,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.2,142,Diary of a Wimpy Kid,Thor Freudenthal,Zachary Gordon,34184,56,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7.8,143,The Big Short,Adam McKay,Christian Bale,246360,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8.2,144,Room,Lenny Abrahamson,Brie Larson,224132,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.4,145,Django Unchained,Quentin Tarantino,Jamie Foxx,1039115,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8.1,146,Ah-ga-ssi,Chan-wook Park,Min-hee Kim,33418,84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.4,147,The Edge of Seventeen,Kelly Fremon Craig,Hailee Steinfeld,47694,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7.6,148,Watchmen,Zack Snyder,Jackie Earle Haley,410249,56,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.6,149,Superbad,Greg Mottola,Michael Cera,442082,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,150,Inferno,Ron Howard,Tom Hanks,97623,42,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.4,151,The BFG,Steven Spielberg,Mark Rylance,50853,66,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7.2,152,The Hunger Games,Gary Ross,Jennifer Lawrence,735604,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5.8,153,White Girl,Elizabeth Wood,Morgan Saylor,4299,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.6,154,Sicario,Denis Villeneuve,Emily Blunt,243230,82,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.1,155,Twin Peaks: The Missing Pieces,David Lynch,Chris Isaak,1973,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4.7,156,Aliens vs Predator - Requiem,Colin Strause,Reiko Aylesworth,97618,29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,157,Pacific Rim,Guillermo del Toro,Idris Elba,400519,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.4,158,"Crazy, Stupid, Love.",Glenn Ficarra,Steve Carell,396714,68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7.5,159,Scott Pilgrim vs. the World,Edgar Wright,Michael Cera,291457,69,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7.9,160,Hot Fuzz,Edgar Wright,Simon Pegg,373244,81,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,161,Mine,Fabio Guaglione,Armie Hammer,5926,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,162,Free Fire,Ben Wheatley,Sharlto Copley,6946,63,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,163,X-Men: Days of Future Past,Bryan Singer,Patrick Stewart,552298,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.1,164,Jack Reacher: Never Go Back,Edward Zwick,Tom Cruise,78043,47,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,165,Casino Royale,Martin Campbell,Daniel Craig,495106,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.2,166,Twilight,Catherine Hardwicke,Kristen Stewart,361449,56,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6.5,167,Now You See Me 2,Jon M. Chu,Jesse Eisenberg,156567,46,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,168,Woman in Gold,Simon Curtis,Helen Mirren,39723,51,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7.3,169,13 Hours,Michael Bay,John Krasinski,76935,48,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.8,170,Spectre,Sam Mendes,Daniel Craig,308981,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.9,171,Nightcrawler,Dan Gilroy,Jake Gyllenhaal,332476,76,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7.9,172,Kubo and the Two Strings,Travis Knight,Charlize Theron,72778,84,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.2,173,Beyond the Gates,Jackson Stewart,Graham Skipper,2127,59,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,174,Her,Spike Jonze,Joaquin Phoenix,390531,90,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
7.5,175,Frozen,Chris Buck,Kristen Bell,451894,74,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,176,Tomorrowland,Brad Bird,George Clooney,143069,60,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.6,177,Dawn of the Planet of the Apes,Matt Reeves,Gary Oldman,337777,79,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,178,Tropic Thunder,Ben Stiller,Ben Stiller,321442,71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.4,179,The Conjuring 2,James Wan,Vera Farmiga,137203,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7.3,180,Ant-Man,Peyton Reed,Paul Rudd,368912,64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,181,Bridget Jones's Baby,Sharon Maguire,Renée Zellweger,43086,59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6.8,182,The VVitch: A New-England Folktale,Robert Eggers,Anya Taylor-Joy,101781,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,183,Cinderella,Kenneth Branagh,Lily James,117018,67,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
5.9,184,Realive,Mateo Gil,Tom Hughes,1176,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,185,Forushande,Asghar Farhadi,Taraneh Alidoosti,22389,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,186,Love,Gaspar Noé,Aomi Muyock,24003,51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6.3,187,Billy Lynn's Long Halftime Walk,Ang Lee,Joe Alwyn,11944,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6.6,188,Crimson Peak,Guillermo del Toro,Mia Wasikowska,97454,66,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
7.8,189,Drive,Nicolas Winding Refn,Ryan Gosling,461509,78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
